Time_index,Time,Strain,Temperature
20090813200000,2009-08-13 20:00:00,,
20090814000000,2009-08-14 00:00:00,,
20090814040000,2009-08-14 04:00:00,,
20090814080000,2009-08-14 08:00:00,,
20090814120000,2009-08-14 12:00:00,,
20090814160000,2009-08-14 16:00:00,,
20090814200000,2009-08-14 20:00:00,,
20090815000000,2009-08-15 00:00:00,,
20090815040000,2009-08-15 04:00:00,,
20090815080000,2009-08-15 08:00:00,,
20090815120000,2009-08-15 12:00:00,,
20090815160000,2009-08-15 16:00:00,,
20090815200000,2009-08-15 20:00:00,,
20090816000000,2009-08-16 00:00:00,,
20090816040000,2009-08-16 04:00:00,,
20090816080000,2009-08-16 08:00:00,,
20090816120000,2009-08-16 12:00:00,,
20090816160000,2009-08-16 16:00:00,,
20090816200000,2009-08-16 20:00:00,,
20090817000000,2009-08-17 00:00:00,,
20090817040000,2009-08-17 04:00:00,,
20090817080000,2009-08-17 08:00:00,,
20090817120000,2009-08-17 12:00:00,,
20090817160000,2009-08-17 16:00:00,,
20090817200000,2009-08-17 20:00:00,,
20090818000000,2009-08-18 00:00:00,,
20090818040000,2009-08-18 04:00:00,,
20090818080000,2009-08-18 08:00:00,,
20090818120000,2009-08-18 12:00:00,,
20090818160000,2009-08-18 16:00:00,,
20090818200000,2009-08-18 20:00:00,,
20090819000000,2009-08-19 00:00:00,,
20090819040000,2009-08-19 04:00:00,,
20090819080000,2009-08-19 08:00:00,,
20090819120000,2009-08-19 12:00:00,,
20090819160000,2009-08-19 16:00:00,,
20090819200000,2009-08-19 20:00:00,,
20090820000000,2009-08-20 00:00:00,,
20090820040000,2009-08-20 04:00:00,,
20090820080000,2009-08-20 08:00:00,,
20090820120000,2009-08-20 12:00:00,,
20090820160000,2009-08-20 16:00:00,,
20090820200000,2009-08-20 20:00:00,,
20090821000000,2009-08-21 00:00:00,,
20090821040000,2009-08-21 04:00:00,,
20090821080000,2009-08-21 08:00:00,,
20090821120000,2009-08-21 12:00:00,,
20090821160000,2009-08-21 16:00:00,,
20090821200000,2009-08-21 20:00:00,,
20090822000000,2009-08-22 00:00:00,,
20090822040000,2009-08-22 04:00:00,,
20090822080000,2009-08-22 08:00:00,,
20090822120000,2009-08-22 12:00:00,,
20090822160000,2009-08-22 16:00:00,,
20090822200000,2009-08-22 20:00:00,,
20090823000000,2009-08-23 00:00:00,,
20090823040000,2009-08-23 04:00:00,,
20090823080000,2009-08-23 08:00:00,,
20090823120000,2009-08-23 12:00:00,,
20090823160000,2009-08-23 16:00:00,,
20090823200000,2009-08-23 20:00:00,,
20090824000000,2009-08-24 00:00:00,,
20090824040000,2009-08-24 04:00:00,,
20090824080000,2009-08-24 08:00:00,,
20090824120000,2009-08-24 12:00:00,,
20090824160000,2009-08-24 16:00:00,,
20090824200000,2009-08-24 20:00:00,,
20090825000000,2009-08-25 00:00:00,,
20090825040000,2009-08-25 04:00:00,,
20090825080000,2009-08-25 08:00:00,,
20090825120000,2009-08-25 12:00:00,,
20090825160000,2009-08-25 16:00:00,,
20090825200000,2009-08-25 20:00:00,,
20090826000000,2009-08-26 00:00:00,,
20090826040000,2009-08-26 04:00:00,,
20090826080000,2009-08-26 08:00:00,,
20090826120000,2009-08-26 12:00:00,,
20090826160000,2009-08-26 16:00:00,,
20090826200000,2009-08-26 20:00:00,,
20090827000000,2009-08-27 00:00:00,,
20090827040000,2009-08-27 04:00:00,,
20090827080000,2009-08-27 08:00:00,,
20090827120000,2009-08-27 12:00:00,,
20090827160000,2009-08-27 16:00:00,,
20090827200000,2009-08-27 20:00:00,,
20090828000000,2009-08-28 00:00:00,,
20090828040000,2009-08-28 04:00:00,,
20090828080000,2009-08-28 08:00:00,,
20090828120000,2009-08-28 12:00:00,,
20090828160000,2009-08-28 16:00:00,,
20090828200000,2009-08-28 20:00:00,,
20090829000000,2009-08-29 00:00:00,,
